Cycle,Freshman,Party,State,District
2010,Martha Roby (R),,Alabama 2,
2010,Mo Brooks (R),,Alabama 5,
2010,Terri Sewell (D),,Alabama 7,
2010,Rick Crawford (R),,Arkansas 1,
2010,Tim Griffin (R),,Arkansas 2,
2010,Steve Womack (R),,Arkansas 3,
2010,Paul Gosar (R),,Arizona 1,
2010,Ben Quayle (R),,Arizona 3,
2010,David Schweikert (R),,Arizona 5,
2010,Jeff Denham (R),,California 19,
2010,Karen Bass (D),,California 33,
2010,Scott Tipton (R),,Colorado 3,
2010,Cory Gardner (R),,Colorado 4,
2010,John Carney (D),,Delaware AL,
2010,Steve Southerland (R),,Florida 2,
2010,Rich Nugent (R),,Florida 5,
2010,Daniel Webster (R),,Florida 8,
2010,Dennis A. Ross (R),,Florida 12,
2010,Frederica Wilson (D),,Florida 17,
2010,Allen West (R),,Florida 22,
2010,Sandy Adams (R),,Florida 24,
2010,David Rivera (R),,Florida 25,
2010,Rob Woodall (R),,Georgia 7,
2010,Austin Scott (R),,Georgia 8,
2010,Colleen Hanabusa (D),,Hawaii 1,
2010,Raul Labrador (R),,Idaho 1,
2010,Joe Walsh (R),,Illinois 8,
2010,Robert Dold (R),,Illinois 10,
2010,Adam Kinzinger (R),,Illinois 11,
2010,Randy Hultgren (R),,Illinois 14,
2010,Bobby Schilling (R),,Illinois 17,
2010,Todd Rokita (R),,Indiana 4,
2010,Larry Bucshon (R),,Indiana 8,
2010,Todd Young (R),,Indiana 9,
2010,Tim Huelskamp (R),,Kansas 1,
2010,Kevin Yoder (R),,Kansas 3,
2010,Mike Pompeo (R),,Kansas 4,
2010,Cedric Richmond (D),,Louisiana 2,
2010,Jeff Landry (R),,Louisiana 3,
2010,Andy Harris (R),,Maryland 1,
2010,Bill Keating (D),,Massachusetts 10,
2010,Dan Benishek (R),,Michigan 1,
2010,Bill Huizenga (R),,Michigan 2,
2010,Justin Amash (R),,Michigan 3,
2010,Tim Walberg (R),,Michigan 7,
2010,Hansen Clarke (D),,Michigan 13,
2010,Chip Cravaack (R),,Minnesota 8,
2010,Alan Nunnelee (R),,Mississippi 1,
2010,Steven Palazzo (R),,Mississippi 4,
2010,Vicky Hartzler (R),,Missouri 4,
2010,Billy Long (R),,Missouri 7,
2010,Joe Heck (R),,Nevada 3,
2010,Frank Guinta (R),,New Hampshire 1,
2010,Charles Bass (R),,New Hampshire 2,
2010,Jon Runyan (R),,New Jersey 3,
2010,Steve Pearce (R),,New Mexico 2,
2010,Michael Grimm (R),,New York 13,
2010,Nan Hayworth (R),,New York 19,
2010,Chris Gibson (R),,New York 20,
2010,Richard Hanna (R),,New York 24,
2010,Ann Marie Buerkle (R),,New York 25,
2010,Renee Ellmers (R),,North Carolina 2,
2010,Rick Berg (R),,North Dakota AL,
2010,Steve Chabot (R),,Ohio 1,
2010,Bill Johnson (R),,Ohio 6,
2010,Steve Stivers (R),,Ohio 15,
2010,Jim Renacci (R),,Ohio 16,
2010,Bob Gibbs (R),,Ohio 18,
2010,James Lankford (R),,Oklahoma 5,
2010,Mike Kelly (R),,Pennsylvania 3,
2010,Pat Meehan (R),,Pennsylvania 7,
2010,Mike Fitzpatrick (R),,Pennsylvania 8,
2010,Tom Marino (R),,Pennsylvania 10,
2010,Lou Barletta (R),,Pennsylvania 11,
2010,David Cicilline (D),,Rhode Island 1,
2010,Tim Scott (R),,South Carolina 1,
2010,Jeff Duncan (R),,South Carolina 3,
2010,Trey Gowdy (R),,South Carolina 4,
2010,Mick Mulvaney (R),,South Carolina 5,
2010,Kristi Noem (R),,South Dakota AL,
2010,Chuck Fleischmann (R),,Tennessee 3,
2010,Scott DesJarlais (R),,Tennessee 4,
2010,Diane Black (R),,Tennessee 6,
2010,Stephen Fincher (R),,Tennessee 8,
2010,Bill Flores (R),,Texas 17,
2010,Quico Canseco (R),,Texas 23,
2010,Blake Farenthold (R),,Texas 27,
2010,Scott Rigell (R),,Virginia 2,
2010,Robert Hurt (R),,Virginia 5,
2010,Morgan Griffith (R),,Virginia 9,
2010,Jaime Herrera Beutler (R),,Washington 3,
2010,David McKinley (R),,West Virginia 1,
2010,Sean Duffy (R),,Wisconsin 7,
2010,Reid Ribble (R),,Wisconsin 8,
2012,Ann Kirkpatrick (D),,Arizona 1,
2012,Matt Salmon (R),,Arizona 5,
2012,Kyrsten Sinema (D),,Arizona 9,
2012,Tom Cotton (R),,Arkansas 4,
2012,Doug LaMalfa (R),,California 1,
2012,Jared Huffman (D),,California 2,
2012,Ami Bera (D),,California 7,
2012,Paul Cook (R),,California 8,
2012,Eric Swalwell (D),,California 15,
2012,David Valadao (R),,California 21,
2012,Julia Brownley (D),,California 26,
2012,Tony Cardenas (D),,California 29,
2012,Gloria Negrete McLeod (D),,California 35,
2012,Raul Ruiz (D),,California 36,
2012,Mark Takano (D),,California 41,
2012,Alan Lowenthal (D),,California 47,
2012,Juan Vargas (D),,California 51,
2012,Scott Peters (D),,California 52,
2012,Elizabeth Esty (D),,Connecticut 5,
2012,Ted Yoho (R),,Florida 3,
2012,Ron DeSantis (R),,Florida 6,
2012,Alan Grayson (D),,Florida 9,
2012,Patrick Murphy (D),,Florida 18,
2012,Trey Radel (R),,Florida 19,
2012,Lois Frankel (D),,Florida 22,
2012,Joe Garcia (D),,Florida 26,
