Cycle,Freshman,Party,State,District,BIO_ID,FEC_ID
2010,Martha Roby,R,AL,2,R000591,H0AL02087
2010,Mo Brooks,R,AL,5,B001274,H0AL05163
2010,Terri Sewell,D,AL,7,S001185,H0AL07086
2010,Rick Crawford,R,AR,1,C001087,H0AR01083
2010,Tim Griffin,R,AR,2,G000567,H0AR02107
2010,Steve Womack,R,AR,3,W000809,H0AR03055
2010,Paul Gosar,R,AZ,1,G000565,H0AZ01259
2010,Ben Quayle,R,AZ,3,Q000024,H0AZ03362
2010,David Schweikert,R,AZ,5,S001183,H4AZ06045
2010,Jeff Denham,R,CA,19,D000612,H0CA19173
2010,Karen Bass,D,CA,33,B001270,H0CA33117
2010,Scott Tipton,R,CO,3,T000470,H6CO03139
2010,Cory Gardner,R,CO,4,G000562,H0CO04122
2010,John Carney,D,DE,0,C001083,H0DE01017
2010,Steve Southerland,R,FL,2,S001186,H0FL02110
2010,Rich Nugent,R,FL,5,N000185,H0FL05139
2010,Daniel Webster,R,FL,8,W000806,H0FL08208
2010,Dennis A. Ross,R,FL,12,R000593,H0FL12101
2010,Frederica Wilson,D,FL,17,W000808,H0FL17068
2010,Allen West,R,FL,22,W000807,H8FL22038
2010,Sandy Adams,R,FL,24,A000366,H0FL24049
2010,David Rivera,R,FL,25,R000590,H0FL25038
2010,Rob Woodall,R,GA,7,W000810,H0GA07133
2010,Austin Scott,R,GA,8,S001189,H0GA08099
2010,Colleen Hanabusa,D,HI,1,H001050,H2HI02110
2010,Raul Labrador,R,ID,1,L000573,H0ID01253
2010,Joe Walsh,R,IL,8,W000811,H0IL08090
2010,Robert Dold,R,IL,10,D000613,H0IL10302
2010,Adam Kinzinger,R,IL,11,K000378,H0IL11052
2010,Randy Hultgren,R,IL,14,H001059,H0IL14080
2010,Bobby Schilling,R,IL,17,S001182,H0IL17059
2010,Todd Rokita,R,IN,4,R000592,H0IN04170
2010,Larry Bucshon,R,IN,8,B001275,H0IN08114
2010,Todd Young,R,IN,9,Y000064,H0IN09070
2010,Tim Huelskamp,R,KS,1,H001057,H6KS01146
2010,Kevin Yoder,R,KS,3,Y000063,H0KS03137
2010,Mike Pompeo,R,KS,4,P000602,H0KS04051
2010,Cedric Richmond,D,LA,2,R000588,H8LA02054
2010,Jeff Landry,R,LA,3,L000574,H0LA03141
2010,Andy Harris,R,MD,1,H001052,H8MD01094
2010,Bill Keating,D,MA,10,K000375,H0MA10082
2010,Dan Benishek,R,MI,1,B001271,H0MI01088
2010,Bill Huizenga,R,MI,2,H001058,H0MI02094
