Cycle,Freshman,Party,State,District,BIO_ID
2010,Martha Roby,R,AL,2,R000591
2010,Mo Brooks,R,AL,5,B001274
2010,Terri Sewell,D,AL,7,S001185
2010,Rick Crawford,R,AR,1,C001087
2010,Tim Griffin,R,AR,2,G000567
2010,Steve Womack,R,AR,3,W000809
2010,Paul Gosar,R,AZ,1,G000565
2010,Ben Quayle,R,AZ,3,Q000024
2010,David Schweikert,R,AZ,5,S001183
2010,Jeff Denham,R,CA,19,D000612
2010,Karen Bass,D,CA,33,B001270
2010,Scott Tipton,R,CO,3,T000470
2010,Cory Gardner,R,CO,4,G000562
2010,John Carney,D,DE,0,C001083
2010,Steve Southerland,R,FL,2,S001186
2010,Rich Nugent,R,FL,5,N000185
2010,Daniel Webster,R,FL,8,W000806
2010,Dennis A. Ross,R,FL,12,R000593
2010,Frederica Wilson,D,FL,17,W000808
2010,Allen West,R,FL,22,W000807
2010,Sandy Adams,R,FL,24,A000366
2010,David Rivera,R,FL,25,R000590
2010,Rob Woodall,R,GA,7,W000810
2010,Austin Scott,R,GA,8,S001189
2010,Colleen Hanabusa,D,HI,1,H001050
2010,Raul Labrador,R,ID,1,L000573
2010,Joe Walsh,R,IL,8,W000811
2010,Robert Dold,R,IL,10,D000613
2010,Adam Kinzinger,R,IL,11,K000378
2010,Randy Hultgren,R,IL,14,H001059
2010,Bobby Schilling,R,IL,17,S001182
2010,Todd Rokita,R,IN,4,R000592
2010,Larry Bucshon,R,IN,8,B001275
2010,Todd Young,R,IN,9,Y000064
2010,Tim Huelskamp,R,KS,1,H001057
2010,Kevin Yoder,R,KS,3,Y000063
2010,Mike Pompeo,R,KS,4,P000602
2010,Cedric Richmond,D,LA,2,R000588
2010,Jeff Landry,R,LA,3,L000574
2010,Andy Harris,R,MD,1,H001052
2010,Bill Keating,D,MA,10,K000375
2010,Dan Benishek,R,MI,1,B001271
2010,Bill Huizenga,R,MI,2,H001058
2010,Justin Amash,R,MI,3,A000367
2010,Tim Walberg,R,MI,7,W000798
2010,Hansen Clarke,D,MI,13,C001085
2010,Chip Cravaack,R,MN,8,C001086
2010,Alan Nunnelee,R,MS,1,N000186
2010,Steven Palazzo,R,MS,4,P000601
2010,Vicky Hartzler,R,MO,4,H001053
2010,Billy Long,R,MO,7,L000576
2010,Joe Heck,R,NV,3,H001055
2010,Frank Guinta,R,NH,1,G000570
2010,Charles Bass,R,NH,2,B000220
2010,Jon Runyan,R,NJ,3,R000594
2010,Steve Pearce,R,NM,2,P000588
2010,Michael Grimm,R,NY,13,G000569
2010,Nan Hayworth,R,NY,19,H001054
2010,Chris Gibson,R,NY,20,G000564
2010,Richard Hanna,R,NY,24,H001051
2010,Ann Marie Buerkle,R,NY,25,B001276
2010,Renee Ellmers,R,NC,2,E000291
2010,Rick Berg,R,ND,0,B001272
2010,Steve Chabot,R,OH,1,C000266
2010,Bill Johnson,R,OH,6,J000292
2010,Steve Stivers,R,OH,15,S001187
2010,Jim Renacci,R,OH,16,R000586
2010,Bob Gibbs,R,OH,18,G000563
2010,James Lankford,R,OK,5,L000575
2010,Mike Kelly,R,PA,3,K000376
2010,Pat Meehan,R,PA,7,M001181
2010,Mike Fitzpatrick,R,PA,8,F000451
2010,Tom Marino,R,PA,10,M001179
2010,Lou Barletta,R,PA,11,B001269
2010,David Cicilline,D,RI,1,C001084
2010,Tim Scott,R,SC,1,S001184
2010,Jeff Duncan,R,SC,3,D000615
2010,Trey Gowdy,R,SC,4,G000566
2010,Mick Mulvaney,R,SC,5,M001182
2010,Kristi Noem,R,SD,0,N000184
2010,Chuck Fleischmann,R,TN,3,F000459
2010,Scott DesJarlais,R,TN,4,D000616
2010,Diane Black,R,TN,6,B001273
2010,Stephen Fincher,R,TN,8,F000458
2010,Bill Flores,R,TX,17,F000461
2010,Quico Canseco,R,TX,23,C001082
2010,Blake Farenthold,R,TX,27,F000460
2010,Scott Rigell,R,VA,2,R000589
2010,Robert Hurt,R,VA,5,H001060
2010,Morgan Griffith,R,VA,9,G000568
2010,Jaime Herrera Beutler,R,WA,3,H001056
2010,David McKinley,R,WV,1,M001180
2010,Sean Duffy,R,WI,7,D000614
2010,Reid Ribble,R,WI,8,R000587
2012,Ann Kirkpatrick,D,AZ,1,K000368
2012,Matt Salmon,R,AZ,5,S000018
2012,Kyrsten Sinema,D,AZ,9,S001191
2012,Tom Cotton,R,AR,4,C001095
2012,Doug LaMalfa,R,CA,1,L000578
2012,Jared Huffman,D,CA,2,H001068
2012,Ami Bera,D,CA,7,B001287
2012,Paul Cook,R,CA,8,C001094
2012,Eric Swalwell,D,CA,15,S001193
2012,David Valadao,R,CA,21,V000129
2012,Julia Brownley,D,CA,26,B001285
2012,Tony Cardenas,D,CA,29,C001097
2012,Gloria Negrete McLeod,D,CA,35,N000187
2012,Raul Ruiz,D,CA,36,R000599
2012,Mark Takano,D,CA,41,T000472
2012,Alan Lowenthal,D,CA,47,L000579
2012,Juan Vargas,D,CA,51,V000130
2012,Scott Peters,D,CA,52,P000608
2012,Elizabeth Esty,D,CT,5,E000293
2012,Ted Yoho,R,FL,3,Y000065
2012,Ron DeSantis,R,FL,6,D000621
2012,Alan Grayson,D,FL,9,G000556
2012,Patrick Murphy,D,FL,18,M001191
2012,Trey Radel,R,FL,19,R000596
2012,Lois Frankel,D,FL,22,F000462
2012,Joe Garcia,D,FL,26,G000573
2012,Doug Collins,R,GA,9,C001093
2012,Tulsi Gabbard,D,HI,2,G000571
2012,Tammy Duckworth,D,IL,8,D000622
2012,Brad Schneider,D,IL,10,S001190
2012,Bill Foster,D,IL,11,F000454
2012,William Enyart,D,IL,12,E000292
2012,Rodney Davis,R,IL,13,D000619
2012,Cheri Bustos,D,IL,17,B001286
2012,Jackie Walorski,R,IN,2,W000813
2012,Susan Brooks,R,IN,5,B001284
2012,Luke Messer,R,IN,6,M001189
2012,Andy Barr,R,KY,6,B001282
2012,John Delaney,D,MD,6,D000620
2012,Joseph Kennedy III,D,MA,4,K000379
2012,Dan Kildee,D,MI,5,K000380
2012,Kerry Bentivolio,R,MI,11,B001280
2012,Rick Nolan,D,MN,8,N000127
2012,Ann Wagner,R,MO,2,W000812
2012,Steve Daines,R,MT,0,D000618
2012,Dina Titus,D,NV,1,T000468
2012,Steven Horsford,D,NV,4,H001066
2012,Carol Shea-Porter,D,NH,1,S001170
2012,Ann McLane Kuster,D,NH,2,K000382
2012,Michelle Lujan Grisham,D,NM,1,L000580
2012,Grace Meng,D,NY,6,M001188
2012,Hakeem Jeffries,D,NY,8,J000294
2012,Sean Patrick Maloney,D,NY,18,M001185
2012,Dan Maffei,D,NY,24,M001171
2012,Chris Collins,R,NY,27,C001092
2012,Richard Hudson,R,NC,8,H001067
2012,Robert Pittenger,R,NC,9,P000606
2012,Mark Meadows,R,NC,11,M001187
2012,George Holding,R,NC,13,H001065
2012,Kevin Cramer,R,ND,0,C001096
2012,Brad Wenstrup,R,OH,2,W000815
2012,Joyce Beatty,D,OH,3,B001281
2012,David Joyce,R,OH,14,J000295
2012,Jim Bridenstine,R,OK,1,B001283
2012,Markwayne Mullin,R,OK,2,M001190
2012,Scott Perry,R,PA,4,P000605
2012,Keith Rothfus,R,PA,12,R000598
2012,Matt Cartwright,D,PA,17,C001090
2012,Tom Rice,R,SC,7,R000597
2012,Randy Weber,R,TX,14,W000814
2012,Beto O'Rourke,D,TX,16,O000170
2012,Joaquin Castro,D,TX,20,C001091
2012,Pete Gallego,D,TX,23,G000572
2012,Roger Williams,R,TX,25,W000816
2012,Marc Veasey,D,TX,33,V000131
2012,"Filemon Vela, Jr.",D,TX,34,V000132
2012,Steve Stockman,R,TX,36,S000937
2012,Chris Stewart,R,UT,2,S001192
2012,Derek Kilmer,D,WA,6,K000381
2012,Dennis Heck,D,WA,10,H001064
2012,Mark Pocan,D,WI,2,P000607
2014,Gary Palmer,R,AL,6,P000609
2014,Martha McSally,R,AZ,2,M001197
2014,Ruben Gallego,D,AZ,7,G000574
2014,French Hill,R,AR,2,H001072
2014,Bruce Westerman,R,AR,4,W000821
2014,Mark DeSaulnier,D,CA,11,D000623
2014,Steve Knight,R,CA,25,K000387
2014,Pete Aguilar,D,CA,31,A000371
2014,Ted Lieu,D,CA,33,L000582
2014,Norma Torres,D,CA,35,T000474
2014,Mimi Walters,R,CA,45,W000820
2014,Ken Buck,R,CO,4,B001297
