election,cycle,fecyear,Cand.ID,FEC.ID,NID,ICPSR,ICPSR2,bonica.rid,bonica.cid,name,lname,ffname,fname,mname,nname,title,suffix,party,state,seat,district,Incum.Chall,recipient.cfscore,contributor.cfscore,recipient.cfscore.dyn,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,dwdime,irt.cfscore,num.givers,num.givers.total,n.data.points.personal.donations,n.data.points.personal.donations.unq,cand.gender,total.disbursements,total.pc.contribs,contribs.from.candidate,unitemized,non.party.ind.exp.for,non.party.ind.exp.against,ind.exp.for,ind.exp.against,comm.cost.for,comm.cost.against,party.coord.exp,party.ind.exp.against,total.receipts,total.indiv.contrib,total.pac.contribs,ran.primary,ran.general,p.elec.stat,s.elec.stat,r.elec.stat,gen.elec.stat,gen.elect.pct,winner,district.partisanship,district.pres.vs,candStatus,recipient.type,igcat,comtype,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status,before.switch.ICPSR,after.switch.ICPSR,party.orig
fd2010,2010,2010,H0AL02087,C00462143,N00030768,H0AL020872010,21192,cand1180,5000030233028084,"ROBY, MARTHA",roby,martha,martha,,,,,200,AL,federal:house,AL02,C,1.0453131431343,1.01485207121024,1.133,0.368,0.667,,,0.43,,1020,3040,3,3,F,1240275.64,10900,0,96482.11,0,0,0,0,0,0,0,0,1253557.11,728948.23,361615.7,1,1,W,,,W,50.97,W,1.27,0.364,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0AL05163,C00464149,N00030910,H0AL051632010,21193,cand1181,2390713839,"BROOKS, MO",brooks,mo,mo,,,,,200,AL,federal:house,AL05,C,1.12945490578361,1.16063491501904,1.171,0.608,-0.449,,,0.55,,734,2074,21,21,M,910790.4,0,0,76691.54,0,0,0,0,0,0,0,0,961210.63,488978.2,292995.13,1,1,W,,,W,57.89,W,0.873,0.384,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0AL07086,C00458976,N00030622,H0AL070862010,21102,cand1093,5000003017011351,"SEWELL, TERRI A.",sewell,terri a.,terri,a,,,,100,AL,federal:house,AL07,O,-0.54904796023616,-1.28187364972686,-0.514,-0.39,0.401,,,-0.372,,1801,4201,10,10,F,1766658.3,0,0,222339.13,0,0,0,0,0,0,0,0,1802832.56,1159549.73,357855,1,1,W,,,W,72.43,W,-1.037,0.727,C,cand,,H,,,,,,,,100
fd2010,2010,2010,H0AR01083,C00462374,N00030770,H0AR010832010,21106,cand1097,33014106360,"CRAWFORD, ERIC ALAN RICK",crawford,eric alan rick,eric,alan rick,,,,200,AR,federal:house,AR01,O,0.898196444593636,,1.015,0.384,0.461,,,0.369,,960,2429,2,2,M,1249966.21,17450,0,105453.54,0,0,0,0,0,0,0,0,1341138.21,690532.22,333538.8,1,1,W,,,W,51.79,W,0.366,0.392,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0AR02107,C00468116,N00031297,H0AR021072010,21107,cand1098,4116328191,"GRIFFIN, JOHN TIMOTHY",griffin,john timothy,john,timothy,,,,200,AR,federal:house,AR02,O,0.980181821376166,1.14401627451127,1.023,0.41,0.421,,,0.45,,1477,2419,39,39,M,1774143,0,3500,163347.33,0,0,0,0,0,0,0,0,1855578.1,1195308.28,472430.2,1,1,W,,,W,57.9,W,0.342,0.449,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0AR03055,C00477745,N00031857,H0AR030552010,21108,cand1099,4185397319,"WOMACK, STEVE",womack,steve,steve,,,,,200,AR,federal:house,AR03,O,0.861309060502746,0.979203387162699,0.901,0.348,0.568,,,0.376,,550,1930,27,27,M,641115.26,5000,2400,53180.7,0,0,0,0,0,0,0,0,717879.42,453448.49,203850,1,1,W,,,W,72.44,W,0.996,0.347,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0AZ01259,C00461806,N00030771,H0AZ012592010,21103,cand1094,4640044642,"GOSAR, PAUL ANTHONY ANTHONY",gosar,paul anthony anthony,paul,anthony anthony,,,,200,AZ,federal:house,AZ01,C,1.00776970358365,0.984107528640559,1.11,0.636,-0.389,,,0.58,,905,2309,25,25,M,1172286.68,16291.25,19496.7,130224.17,0,0,0,0,0,0,0,0,1173026.19,631725.59,330100,1,1,W,,,W,49.72,W,0.456,0.449,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0AZ03362,C00475863,N00031723,H0AZ033622010,21104,cand1095,3298180693,"QUAYLE, BEN",quayle,ben,ben,,,,,200,AZ,federal:house,AZ03,O,0.95506524747113,1.11162501507192,0.971,0.712,0.222,,,0.63,,1536,2178,20,20,M,2645463.16,221.88,4800,69238.04,0,0,0,0,0,0,0,0,2653070.2,2263692.96,286942.3,1,1,W,,,W,52.24,W,0.699,0.424,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H4AZ06045,C00492413,N00006460,H4AZ060452010,21105,cand1096,4166388033,"SCHWEIKERT, DAVID",schweikert,david,david,,,,,200,AZ,federal:house,AZ05,C,1.13845098020309,1.18026684893098,1.25,0.628,-0.315,,,0.678,,1334,3695,14,14,M,1721363.62,8581,50000,223071.02,0,0,0,0,0,0,0,0,1732731.48,844103.83,315072.05,1,1,W,,,W,52,W,0.401,0.475,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0CA19173,C00473272,N00031593,H0CA191732010,21109,cand1100,3818434591,"DENHAM, JEFF",denham,jeff,jeff,,,,,200,CA,federal:house,CA19,O,0.851579437222084,1.12299095596188,0.909,0.306,0.212,,,0.371,,634,7116,11,11,M,1210088.28,0,0,33778.39,0,0,0,0,0,0,0,0,1256669.57,692111.37,379140.2,1,1,W,,,W,64.55,W,0.588,0.469,C,cand,,,,,,,,,,200
fd2010,2010,2010,H0CA33117,C00476523,N00031877,H0CA331172010,21110,cand1101,5000003818419989,"BASS, KAREN",bass,karen,karen,,,,,100,CA,federal:house,CA33,O,-0.98927599663489,-1.15167390030248,-0.785,-0.587,-0.095,,,-0.51,,803,5606,50,50,F,768918.65,0,0,60946.91,0,0,0,0,0,0,0,0,932281.19,504152.2,358350,1,1,W,,,W,86.08,W,-2.617,0.879,C,cand,,,,,,,,,,100
fd2010,2010,2010,H6CO03139,C00470757,N00027509,H6CO031392010,21111,cand1102,2932988129,"TIPTON, SCOTT R. MR.",tipton,scott r. mr.,scott,r mr,,,,200,CO,federal:house,CO03,C,1.20365020986612,1.20638220059394,1.274,0.454,-0.03,,,0.491,,833,4228,73,73,M,1207831.54,12551.12,1850,139080.73,0,0,0,0,0,0,0,0,1232112.91,864814.09,191700,1,1,W,,,W,49.87,W,0.401,0.485,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0CO04122,C00492454,N00030780,H0CO041222010,21112,cand1103,4647057264,"GARDNER, CORY SCOTT REP.",gardner,cory scott rep.,cory,scott rep,,,,200,CO,federal:house,CO04,C,1.135006291727,1.22633604997427,1.181,0.45,-0.021,,,0.494,,1763,8828,60,60,M,2407602.45,5312.5,0,317088.4,0,0,0,0,0,0,0,0,2426591.08,1418203.08,608763.71,1,1,W,,,W,52.48,W,0.423,0.495,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0DE01017,C00460899,N00030736,H0DE010172010,21113,cand1104,5081319512,"CARNEY, JOHN CHARLES JR",carney,john charles,john,charles,,,jr,100,DE,federal:house,DE01,O,-0.63829231908885,-0.771445989559213,-0.507,-0.256,-0.142,,,-0.275,,1543,6700,33,33,M,2115140.17,0,0,173833.64,0,0,0,0,0,0,0,0,2140065.29,1294981.87,661671.03,1,1,W,,,W,56.78,W,-0.322,0.626,C,cand,,H,,,,,,,,100
fd2010,2010,2010,H0FL02110,C00468959,N00031204,H0FL021102010,21114,cand1105,2613834388,"SOUTHERLAND, WILLIAM STEVE II",southerland,william steve,william,steve,,,jr,200,FL,federal:house,FL02,C,1.08194743672647,1.10547444391202,1.129,0.56,0.063,,,0.543,,1228,3421,16,16,M,1290928.8,6950,28500,128142.93,0,0,0,0,0,0,0,0,1291070.74,821922.97,241014.09,1,1,W,,,W,53.6,W,0.442,0.455,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0FL05139,C00482281,N00032441,H0FL051392010,21115,cand1106,31438018432,"NUGENT, RICHARD B",nugent,richard b,richard,b,,,,200,FL,federal:house,FL05,O,0.837599174580478,0.870357701251513,0.948,0.483,0.077,,,0.498,,364,801,0,0,M,506953.89,0,0,66620.3,0,0,0,0,0,0,0,0,518609.48,177787.29,262527.56,1,1,W,,,W,67.43,W,0.702,0.434,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0FL08208,C00481911,N00026335,H0FL082082010,21116,cand1107,4021267389,"WEBSTER, DANIEL",webster,daniel,daniel,,,,,200,FL,federal:house,FL08,C,1.01940923958315,1.01022955087757,1.099,0.485,-0.013,,,0.478,,1510,3811,9,9,M,1756774.9,5100,384.91,268976.55,0,0,0,0,0,0,0,0,1821764.46,1035859.66,449935.82,1,1,W,,,W,56.11,W,0.216,0.53,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0FL12101,C00459461,N00030645,H0FL121012010,21117,cand1108,29085832357,"ROSS, DENNIS ALAN",ross,dennis alan,dennis,alan,,,,200,FL,federal:house,FL12,O,0.809100822232252,0.910427984636164,0.938,0.531,0.099,,,0.512,,851,3388,46,46,M,1156468.58,21250,0,96591.72,0,0,0,0,0,0,0,0,1179682.32,518499.29,517218,1,1,W,,,W,48.14,W,0.417,0.495,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0FL17068,C00460055,N00030650,H0FL170682010,21118,cand1109,5000003818429382,"WILSON, FREDERICA S",wilson,frederica s,frederica,s,,,,100,FL,federal:house,FL17,O,-0.574986493532334,-0.887167455233792,-0.503,-0.474,-0.016,,,-0.45,,935,3674,25,25,F,401644.69,4000,0,-200,0,0,0,0,0,0,0,0,512380.69,223381.44,127000,1,1,W,,,W,86.21,W,-2.271,0.879,C,cand,,H,,,,,,,,100
fd2010,2010,2010,H8FL22038,C00435628,N00029131,H8FL220382010,21119,cand1110,,"WEST, ALLEN B",west,allen b,allen,b,,,,200,FL,federal:house,FL22,C,1.25712226476466,,1.234,0.451,0.043,,,0.525,,5089,19949,0,0,M,6519713.09,3000,0,2616615.5,0,0,0,0,0,0,0,0,6542737.57,3632297.52,274091.87,1,1,W,,,W,54.36,W,0.014,0.52,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0FL24049,C00463877,N00030926,H0FL240492010,21120,cand8888,12,"ADAMS, SANDY",adams,sandy,sandy,,,,,200,FL,federal:house,FL24,C,0.905332280515454,,0.961,0.577,0.043,,,,,900,1482,0,0,F,1266664.42,5000,1e+05,101914.74,0,0,0,0,0,0,0,0,1328777.62,660007.38,432931.94,1,1,W,,,W, 59,W,0.367184668779373,0.49,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0FL25038,C00477356,N00031887,H0FL250382010,21121,cand1112,4138346221,"RIVERA, DAVID",rivera,david,david,,,,,200,FL,federal:house,FL25,C,0.582217610310334,0.853721919354095,0.641,0.257,0.349,,,0.299,,1167,5678,33,33,M,1884653.91,5000,11734.31,35220.42,0,0,0,0,0,0,0,0,1895640.33,1372988,461698.55,1,1,W,,,W,52.15,W,0.375,0.495,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0GA07133,C00482307,N00032416,H0GA071332010,21122,cand1113,4098315353,"WOODALL, ROB",woodall,rob,rob,,,,,200,GA,federal:house,GA07,O,1.05400615171014,0.875909350283639,1.07,0.637,-0.235,,,0.655,,246,1176,1,1,M,323801.01,2000,1754.32,29398.18,0,0,0,0,0,0,0,0,399085.75,153212.16,211818,1,1,W,,,W,67.07,W,0.79,0.394,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0GA08099,C00482737,N00032457,H0GA080992010,21123,cand1114,31667686910,"SCOTT, JAMES AUSTIN",scott,james austin,james,austin,,,,200,GA,federal:house,GA08,C,1.13903710383596,1.19037131474737,1.24,0.57,0.169,,,0.586,,852,2100,25,25,M,1024630.75,200,0,92800.22,0,0,0,0,0,0,0,0,1035300.43,622108.76,231644,1,1,W,,,W,52.7,W,0.643,0.434,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H2HI02110,C00468413,N00025881,H2HI021102010,21124,cand189554,5000004109312578,"HANABUSA, COLLEEN WAKAKO",hanabusa,colleen wakako,colleen,wakako,,,,100,HI,federal:house,HI01,C,-0.983323325828246,-1.05253507663228,-0.958,-0.37,0.004,,,-0.391,,6343,10583,49,49,F,2384717.56,3862.95,0,332912.28,0,0,0,0,0,0,0,0,2448639.24,1408405.24,689673.77,1,1,W,,,W,53.23,W,-0.224,0.714,C,cand,,H,,,,,,,,100
fd2010,2010,2010,H0ID01253,C00470948,N00031377,H0ID012532010,21125,cand1116,3818435118,"LABRADOR, RAUL RAFAEL",labrador,raul rafael,raul,rafael,,,,200,ID,federal:house,ID01,C,1.20787706273173,1.2603129526667,1.306,0.735,-0.571,,,0.709,,515,2429,62,62,M,771292.68,8518.31,0,116403.75,0,0,0,0,0,0,0,0,811288.24,434161.76,149761.23,1,1,W,,,W,51.02,W,1.287,0.367,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0IL08090,C00473579,N00004723,H0IL080902010,21126,cand1117,4313606233,"WALSH, JOE",walsh,joe,joe,,,,,200,IL,federal:house,IL08,C,1.05759268539127,1.10536064655697,1.064,0.708,-0.707,,,0.655,,433,1373,0,0,M,624902.84,5000,0,74785.38,0,0,0,0,0,0,0,0,646793.82,453774.68,40199,1,1,W,,,W,48.47,W,0.139,0.566,C,cand,,H,,,,,,,,200
